lake_lon_decdeg,lake_lat_decdeg,lagoslakeid,lake_namelagos
-69.7540975977,46.3191969236,8056,Saint Francis Lake
-69.1828800073,46.33427035,19412,Pillsbury Pond
-68.7732798498,46.8134671394,7956,Fish River Lake
-68.7489083199,46.5423869705,68446,Spectacle Pond
-67.8019900764,46.6974364567,7940,Monson Pond
-70.1732260919,46.3540342264,89333,NA
-69.9881925346,46.3204733724,123374,NA
-69.9503549574,46.0527526188,140416,Austin Pond
-69.9164744482,46.7289629667,7571,Presley Lake
-69.9086426962,46.0572237102,7667,Fourth Saint John Pond
-69.9061893834,46.7054096992,71483,Little Presley Lake
-69.8965201733,46.7125439856,139363,Mud Pond
-69.8778347147,46.7211967376,81971,NA
-69.8399106514,46.6587322616,38304,NA
-69.817943352,46.6283916266,109804,NA
-69.7983498943,46.2688619129,69446,NA
-69.799254367,46.6368185318,100537,NA
-69.7971222273,46.7379279067,35113,NA
-69.7836329091,46.7290207137,124432,NA
-69.6874024384,46.924999817,49808,Bruleau Pond
-69.6464805334,46.9360548511,28863,NA
-69.619576436,46.8093265701,101589,White Pond
-69.5451635804,46.3839801293,74580,NA
-69.432881904,46.8464879758,30978,NA
-69.2844080599,46.2737847372,72491,Bog Pond
-69.2258727114,46.4701075581,27825,NA
-69.2189401612,46.7420590805,48787,NA
-69.2272538079,47.2358601281,137286,NA
-69.2084935582,46.3870722922,118054,Upper Soper Pond
-69.1929767191,46.3416683889,38310,NA
-69.1930311083,46.4293965602,57042,Leadbetter Pond
-69.1970600091,47.2227349475,76695,NA
-69.1407728234,46.4875916269,105724,Upper Deadwater Pond
-69.1293381075,46.3056284911,130102,Line Pond
-69.1313490076,46.8796067863,141376,NA
-69.1079919209,46.2971919996,25814,Hay Pond
-69.1128357479,46.7799975862,106710,NA
-69.0877890555,46.7877578287,66386,NA
-69.0990850707,47.3703367179,39385,NA
-69.0982153712,47.3793121863,97505,NA
-69.0964807481,47.3811067591,62187,NA
-69.0763565993,47.1556548519,78878,Falls Brook Lake
-69.084278593,47.4030156543,32056,NA
-69.0400967999,46.3146968912,41518,NA
-69.0397975812,46.4600577584,101570,Ragged Pond
-69.0234804287,46.925140553,76691,NA
-69.0138770356,46.3184454354,110852,Chandler Brook Deadwater
-68.9961411442,46.5300345723,39387,NA
-68.9952335531,46.5711734982,52999,Mink Marsh Pond
-68.9998761413,46.5958904499,134279,Horseshoe Pond
-68.9503521129,46.5695960414,88272,Spring Brook Pond
-68.9428040252,46.5768663143,62184,Lower Deadwater Pond
-68.9376554743,46.9471499779,14206,Mud Pond
-68.9328572075,46.891964908,49801,NA
-68.9017662768,46.2702956372,104659,Kyle Pond
-68.9029701307,46.6825028694,140419,NA
-68.8830489978,46.9213972345,134277,North Pond
-68.8612821596,46.9388357568,44677,Perch Pond
-68.87582349,47.1807896224,132198,NA
-68.871295391,47.18659502,88274,NA
-68.8592962629,46.3403901019,13174,Big Marsh Pond
-68.8414124259,46.3302761259,28861,Little Marsh Pond
-68.8423674844,46.9528898243,7579,Island Pond
-68.821537977,46.9254529,138356,NA
-68.8106103347,46.5386078182,20465,NA
-68.7656403847,46.7193037865,7777,Clayton Lake
-68.7812539804,47.1779585402,92378,NA
-68.7604477068,47.1209705112,78880,NA
-68.7500808978,46.7153253542,87214,NA
-68.7428248109,46.8546917074,49803,Round Pond
-68.7331167321,46.8880957564,104658,Island Pond
-68.7396623333,47.1339798933,28862,Deer Pond
-68.7222701543,46.765590293,8187,Carr Pond
-68.7192245145,46.8637719903,70478,Moccasin Pond
-68.7216600286,46.8695997282,32054,NA
-68.726374386,47.1684802615,56030,Black Pond
-68.7038419666,46.4592925471,12160,Chandler Lake
-68.6814815446,47.1924601028,25816,NA
-68.680427127,47.2083251659,57040,NA
-68.6427863618,46.588742971,38309,NA
-68.6344957209,46.8790084896,140418,Hewes Brook Pond
-68.6469490985,47.0042928192,49807,NA
-68.612323712,46.3919721758,67448,Botting Pond
-68.6029375415,46.917098201500004,114914,Nadeau Pond
-68.5696301342,46.8810299385,9504,Mosquito Brook Pond
-68.5700158555,47.1027280157,32065,NA
-68.5614775103,47.2183129742,110853,NA
-68.5380926522,47.1275226042,51925,First Lake
-68.5162106145,46.375223015,44679,Dead Brook Deadwater
-68.5227689175,46.9373923953,23741,Pennington Pond
-68.4980330821,46.2707648952,87218,NA
-68.4648701697,46.5596567062,99563,NA
-68.4391119273,47.12088857,51924,Little California Pond
-68.3619277505,46.6311018409,123373,Mud Pond
-68.3106721273,47.256839038,64299,NA
-68.3061850714,47.2753113543,41517,Brishlotte Lake
-68.2954134785,47.0518764286,90371,NA
-68.2941524725,47.1728282347,104660,NA
-68.2367728914,46.9297178801,77759,Little Mud Pond
-68.1695872238,46.6139536816,114912,Alder Lake
-68.1366958392,46.2736164842,55038,Trout Pond
-68.1043693968,46.9551162929,127991,Gelot Pond
-68.0630965551,46.1174462636,35111,Carson Pond
-68.0526371108,46.9826667602,61175,NA
-68.0377799939,46.2016712781,32057,B Lake
-68.036676957,47.2410276526,80903,NA
-68.0174243544,46.1133174681,106715,Gould Pond
-68.0088704344,46.1358498735,7699,Bradbury Lake
-67.968993072,46.1274350259,113882,NA
-67.9591846019,46.1205083228,37245,Glancy Lake
-67.9660874387,47.0430917619,118059,Hammond Brook Lake
-67.9353830145,46.1084346256,8298,Green Pond
-67.8882084655,46.331574099,123376,Culling Pond
-67.9012637297,46.6684931133,135284,NA
-67.8969543996,46.6641368599,90419,NA
-67.8785935815,46.6007970805,104680,NA
-67.8823466919,47.0497222178,41521,NA
-67.8611093886,46.2076689943,83002,NA
-67.8657488844,46.2199163631,7757,Carry Lake
-67.8531440197,45.9973847526,138355,NA
-67.8405902318,46.4757836554,27833,Prestile Stream
-67.8496615595,46.886691211,37241,NA
-67.8347400709,46.6187603424,95463,NA
-67.8097065936,46.3850556075,111878,NA
-67.7960584622,46.6755823754,38311,Lindsay Lake
-67.7836166921,45.9657560719,76699,NA
-69.3946489642,46.5508394214,7548,Priestly Lake
-69.287764422,46.2576525162,7802,Indian Pond
-69.2135313123,46.5121725338,70476,Harrow Lake
-69.2089300343,46.4485215165,8464,Spider Lake
-68.2206688242,47.0082971599,8319,Madawaska Lake
-68.2415667156,47.2065244557,7585,Long Lake
-68.031338762,46.0944466083,7710,Meduxnekeag Lake
-70.1383689885,46.3381733939,62180,NA
-70.0455069856,46.2255100153,76693,NA
-69.9794661183,46.6328208385,130103,NA
-69.8430668478,46.6540055336,54041,NA
-69.8501041258,46.7470333524,39381,NA
-69.8132983702,46.7313836577,21539,NA
-69.8114818006,46.7294293303,76696,NA
-69.784520122,46.7264163599,58097,NA
-69.7807365624,46.8908410002,8532,NA
-69.7030850716,46.7521529386,97508,NA
-69.6540468502,46.7202263498,23738,Ed Jones Pond
-69.6500180315,46.9363513382,134281,NA
-69.5244330843,47.1638199536,141380,East Lake
-69.5119201188,46.419870595,57045,Middle Russell Pond
-69.4153858945,46.4488060502,83006,NA
-69.416601562,46.6694994681,58091,Grey Pond
-69.4067560683,46.8363936538,21538,Blue Pond
-69.3844113812,46.685553297,47728,NA
-69.3309823113,46.722604993,46685,Sweeney Pond
-69.3155782572,46.8054913307,87217,NA
-69.2454341695,46.391100531,139366,Cliff Lake
-69.2194383825,46.2870023788,112928,Woodman Pond
-69.1789011404,47.205745471,62188,NA
-69.1447767658,46.4489268907,67446,Upper Portage Pond
-69.1505051116,46.3612666998,58101,Upper Partridge Pond
-69.1033616491,46.3930341806,93456,Little Bluffer Pond
-69.1074259587,47.3596346731,121296,NA
